# student_id,hours_studied,sleep_hours,attendance_percent,previous_scores,exam_score,age,gender,grade_level,parental_education_level,socio_economic_status,internet_access_home,study_hours_per_day,test_preparation_course,homework_completion_rate,group_study,use_online_resources,previous_term_gpa,class_participation_score,extracurricular_activities,screen_time_hours,social_media_hours,absences,health_status,stress_level,sleep_quality,mental_health_support
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1,6.5,7.2,95.5,82.3,88.7,16,female,10,university graduate,3,1,2.1,completed,92.5,0,1,3.45,4,1,3.2,1.8,2,4,3,5,0
2,4.8,6.8,88.2,75.1,79.4,16,male,10,high school,2,1,1.5,none,85.3,1,0,2.98,3,0,4.1,2.5,5,3,4,3,0
3,7.2,8.1,97.8,89.6,92.3,17,female,11,masters,4,1,2.8,completed,96.2,1,1,3.72,5,1,2.5,1.2,1,5,2,4,1
4,3.9,5.9,82.4,68.7,72.1,15,male,9,high school,1,0,1.2,none,78.9,0,0,2.45,2,0,5.8,3.9,8,2,5,2,0
5,5.8,7.0,92.1,79.8,85.6,16,female,10,university graduate,3,1,1.9,completed,89.7,1,1,3.21,4,1,3.5,2.0,3,4,3,4,0
6,8.1,7.5,98.5,91.2,94.8,17,male,11,masters,4,1,3.2,completed,97.4,0,1,3.89,5,1,2.8,1.5,0,5,1,5,0
7,4.2,6.3,85.6,71.4,76.9,16,female,10,high school,2,1,1.4,none,82.1,1,0,2.67,3,0,4.7,2.8,4,3,4,3,1
8,6.9,7.8,94.3,85.7,90.2,15,male,9,university graduate,3,1,2.4,completed,91.8,0,1,3.56,4,1,3.0,1.7,2,4,2,4,0
9,3.5,6.1,79.8,65.2,69.8,17,female,11,bachelors,2,0,1.1,none,76.5,0,0,2.34,2,0,6.2,4.1,7,2,5,2,0
10,7.5,8.0,96.7,87.9,91.5,16,male,10,masters,4,1,2.7,completed,95.1,1,1,3.68,5,1,2.9,1.6,1,5,2,5,0
11,5.2,6.7,89.4,77.3,82.6,16,female,10,high school,1,1,1.6,none,84.2,1,1,2.89,3,0,4.3,2.4,5,3,4,3,0
12,4.1,5.8,83.7,69.8,74.3,15,male,9,bachelors,2,0,1.3,none,79.6,0,0,2.51,2,0,5.5,3.2,6,2,5,2,1
13,6.8,7.4,93.9,84.5,89.1,17,female,11,university graduate,3,1,2.3,completed,90.8,1,1,3.47,4,1,3.1,1.9,3,4,3,4,0
14,8.3,7.9,99.2,93.1,95.7,16,male,10,masters,4,1,3.4,completed,98.3,0,1,3.92,5,1,2.6,1.4,0,5,1,5,0
15,3.7,6.0,80.5,66.4,70.9,16,female,10,high school,1,1,1.0,none,74.7,0,0,2.38,1,0,6.5,4.3,9,1,5,1,0
16,5.9,7.1,91.8,80.2,86.4,15,male,9,university graduate,3,1,2.0,completed,88.9,1,1,3.25,4,1,3.4,2.1,2,4,3,4,1
17,7.0,7.6,95.2,86.8,91.2,17,female,11,bachelors,3,1,2.5,completed,93.6,0,1,3.59,4,1,3.0,1.8,1,4,2,4,0
18,4.5,6.4,86.9,73.5,78.2,16,male,10,high school,2,0,1.5,none,81.4,1,0,2.72,3,0,4.8,2.9,4,3,4,3,0
19,6.3,7.3,92.7,82.9,87.5,16,female,10,university graduate,3,1,2.2,completed,89.3,1,1,3.41,4,1,3.3,2.0,3,4,3,4,0
20,8.0,8.2,98.1,90.4,93.8,17,male,11,masters,4,1,3.1,completed,96.7,0,1,3.84,5,1,2.7,1.5,1,5,1,5,0
21,3.2,5.7,78.3,64.1,68.5,15,female,9,high school,1,0,0.9,none,72.8,0,0,2.29,2,0,6.8,4.6,8,2,5,2,1
22,5.4,6.9,90.2,78.6,84.1,16,male,10,bachelors,2,1,1.7,none,86.5,1,1,3.02,3,0,4.2,2.3,4,3,4,3,0
23,7.4,7.7,96.4,88.2,92.0,17,female,11,university graduate,3,1,2.6,completed,94.8,1,1,3.65,5,1,2.8,1.6,2,5,2,5,0
24,4.7,6.2,87.5,74.9,79.7,16,male,10,high school,2,1,1.6,none,83.2,0,0,2.78,3,0,4.6,2.7,5,3,4,3,0
25,6.1,7.0,91.3,81.4,86.8,15,female,9,masters,4,1,2.1,completed,88.1,1,1,3.33,4,1,3.2,1.9,3,4,3,4,1
26,8.5,8.3,99.5,94.6,96.9,17,male,11,masters,4,1,3.5,completed,99.0,0,1,3.97,5,1,2.4,1.3,0,5,1,5,0
27,3.8,5.9,81.2,67.2,71.6,16,female,10,bachelors,2,0,1.1,none,75.9,0,0,2.42,1,0,6.4,4.2,7,2,5,2,0
28,5.7,6.8,90.8,79.5,85.2,16,male,10,university graduate,3,1,1.8,completed,87.4,1,1,3.19,4,1,3.6,2.2,2,4,3,4,0
29,7.1,7.5,94.9,86.1,90.7,17,female,11,high school,2,1,2.4,completed,92.3,0,1,3.52,4,1,3.1,1.8,1,4,2,4,1
30,4.3,6.1,84.8,70.6,75.4,15,male,9,high school,1,1,1.4,none,80.7,1,0,2.64,2,0,4.9,3.0,6,3,4,3,0
31,6.6,7.2,93.1,83.8,88.4,16,female,10,bachelors,3,1,2.3,completed,90.2,1,1,3.44,4,1,3.0,1.7,3,4,3,4,0
32,8.2,8.0,98.7,92.3,95.1,17,male,11,masters,4,1,3.3,completed,97.5,0,1,3.88,5,1,2.5,1.4,1,5,1,5,0
33,3.9,6.0,80.9,66.8,71.3,16,female,10,high school,1,0,1.0,none,74.3,0,0,2.39,2,0,6.7,4.5,8,2,5,2,0
34,5.5,6.9,89.7,78.1,83.6,15,male,9,university graduate,3,1,1.7,none,85.9,1,1,2.96,3,0,4.4,2.5,4,3,4,3,1
35,7.3,7.8,96.0,87.5,91.8,17,female,11,bachelors,3,1,2.5,completed,94.1,1,1,3.61,5,1,2.9,1.6,2,5,2,5,0
36,4.6,6.3,86.2,73.2,77.9,16,male,10,high school,2,1,1.5,none,81.8,0,0,2.74,3,0,4.7,2.8,5,3,4,3,0
37,6.4,7.1,92.4,82.6,87.2,16,female,10,university graduate,3,1,2.2,completed,89.0,1,1,3.38,4,1,3.3,2.0,3,4,3,4,0
38,8.4,8.1,99.3,94.0,96.4,17,male,11,masters,4,1,3.6,completed,98.6,0,1,3.95,5,1,2.3,1.2,0,5,1,5,1
39,3.4,5.8,79.1,64.9,69.2,15,female,9,bachelors,2,0,0.9,none,73.2,0,0,2.31,1,0,6.9,4.7,9,1,5,1,0
40,5.6,7.0,90.5,79.0,84.7,16,male,10,high school,2,1,1.8,completed,87.0,1,1,3.17,4,1,3.5,2.1,2,4,3,4,0
41,7.6,7.9,97.1,89.0,92.6,17,female,11,masters,4,1,2.8,completed,95.4,0,1,3.73,5,1,2.7,1.5,1,5,2,5,0
42,4.4,6.2,85.3,71.8,76.5,16,male,10,university graduate,3,1,1.4,none,82.5,1,0,2.69,3,0,4.8,2.9,4,3,4,3,0
43,6.2,6.8,91.6,81.7,86.3,15,female,9,bachelors,3,1,2.0,completed,88.4,1,1,3.29,4,1,3.2,1.9,3,4,3,4,1
44,8.1,8.2,98.4,91.8,94.5,17,male,11,masters,4,1,3.2,completed,97.2,0,1,3.86,5,1,2.6,1.4,0,5,1,5,0
45,3.6,5.9,80.2,65.9,70.4,16,female,10,high school,1,0,1.0,none,74.0,0,0,2.37,2,0,6.6,4.4,7,2,5,2,0
46,5.3,6.7,89.1,77.8,83.2,16,male,10,university graduate,3,1,1.6,none,84.7,1,1,2.91,3,0,4.3,2.4,5,3,4,3,0
47,7.7,8.0,97.5,89.7,93.1,17,female,11,bachelors,3,1,2.9,completed,95.9,1,1,3.74,5,1,2.8,1.6,2,5,2,5,1
48,4.8,6.4,87.8,75.3,80.1,15,male,9,high school,2,1,1.6,none,83.6,0,0,2.80,3,0,4.6,2.7,4,3,4,3,0
49,6.0,7.2,91.0,80.5,85.9,16,female,10,masters,4,1,2.1,completed,87.8,1,1,3.31,4,1,3.1,1.8,3,4,3,4,0
50,8.6,8.4,99.8,95.2,97.3,17,male,11,masters,4,1,3.7,completed,99.2,0,1,3.98,5,1,2.2,1.1,0,5,1,5,0
